week,n
2021-01-10,10
2021-01-17,10
2021-01-24,17
2021-01-31,10
2021-02-21,10
2021-03-07,12
2021-04-25,11
2021-10-10,10
2021-11-07,21
2021-11-14,9
2021-12-12,10
2022-01-30,22
2022-02-13,29
2022-04-17,38
2022-04-24,42
2022-05-01,26
2022-05-08,39
2022-05-15,22
2022-05-22,29
2022-05-29,39
2022-06-05,19
2022-07-10,28
2022-08-07,29
2022-08-14,12
2022-08-21,12
2022-08-28,19
2022-09-04,19
2022-09-11,22
2022-09-25,34
2022-10-02,41
2022-10-09,51
2022-10-16,53
2022-10-23,64
2022-10-30,61
2022-11-06,72
2022-11-13,73
2022-11-20,71
2022-11-27,68
2022-12-04,55
2022-12-11,46
2022-12-18,51
2022-12-25,52
2023-01-01,61
2023-01-08,72
2023-01-15,75
2023-01-22,81
2023-01-29,33
2023-02-05,13
2023-02-12,16
2023-02-19,21
2023-02-26,19
2023-03-05,28
2023-03-12,15
2023-03-19,17
2023-03-26,21
2023-04-02,15
2023-04-09,12
2023-04-16,12
2023-04-23,18
2023-04-30,19
2023-05-07,12
2023-05-14,8
2023-05-21,8
2023-05-28,7
2023-06-04,18
2023-06-11,18
2023-06-18,11
2023-06-25,7
2023-07-02,24
2023-07-09,30
2023-07-16,53
2023-07-23,71
2023-07-30,122
2023-08-06,124
2023-08-13,131
2023-08-20,189
2023-08-27,107
2023-09-03,200
2023-09-10,117
2023-09-17,83
2023-09-24,129
2023-10-01,200
2023-10-08,396
2023-10-15,1421
2023-10-22,1446
2023-10-29,1312
2023-11-05,1252
2023-11-12,1275
2023-11-19,1304
2023-11-26,1191
2023-12-03,1219
2023-12-10,1203
2023-12-17,1167
2023-12-24,174
2023-12-31,159
2024-01-07,231
2024-01-14,232
2024-01-21,404
2024-01-28,480
2024-02-04,621
2024-02-11,554
2024-02-18,505
2024-02-25,466
2024-03-03,709
2024-03-10,778
2024-03-17,649
2024-03-24,622
2024-03-31,666
2024-04-07,745
2024-04-14,556
2024-04-21,338
2024-04-28,315
2024-05-05,365
2024-05-12,337
2024-05-19,393
2024-05-26,536
2024-06-02,582
2024-06-09,568
2024-06-16,534
2024-06-23,455
2024-06-30,343
2024-07-07,240
2024-07-14,260
2024-07-21,270
2024-07-28,245
2024-08-04,342
2024-08-11,317
2024-08-18,354
2024-08-25,310
2024-09-01,646
2024-09-08,426
2024-09-15,198
2024-09-22,184
2024-09-29,211
2024-10-06,312
2024-10-13,236
2024-10-20,238
2024-10-27,195
2024-11-03,224
2024-11-10,233
2024-11-17,271
2024-11-24,299
2024-12-01,332
2024-12-08,287
2024-12-15,237
2024-12-22,276
2024-12-29,464
2025-01-05,621
2025-01-12,644
2025-01-19,691
2025-01-26,601
2025-02-02,842
2025-02-09,711
2025-02-16,840
2025-02-23,686
2025-03-02,703
2025-03-09,754
2025-03-16,693
2025-03-23,709
2025-03-30,694
2025-04-06,649
2025-04-13,662
2025-04-20,818
2025-04-27,848
2025-05-04,644
2025-05-11,744
2025-05-18,1197
2025-05-25,1114
2025-06-01,1269
2025-06-08,1180
2025-06-15,1383
2025-06-22,1736
2025-06-29,2294
2025-07-06,2245
2025-07-13,1767
2025-07-20,2253
2025-07-27,1438
2025-08-03,1931
2025-08-10,1483
2025-08-17,1295
2025-08-24,1578
2025-08-31,2297
2025-09-07,3000
2025-09-14,3528
2025-09-21,1760
2025-09-28,1581
2025-10-05,1642
2025-10-12,1650
